cellphone_id,brand,model,operating system,internal memory,RAM,performance,main camera,selfie camera,battery size,screen size,weight,price,release date,url
0,Apple,iPhone SE (2022),iOS,128,4,7.23,12,7,2018,4.7,144,429,18/03/2022,https://images.idgesg.net/images/article/2019/05/iphone-se-100795727-orig.jpg
1,Apple,iPhone 13 Mini,iOS,128,4,7.72,12,12,2438,5.4,141,699,24/09/2021,https://fdn.gsmarena.com/imgroot/reviews/21/apple-iphone-13-mini/lifestyle/-1200w5/gsmarena_009.jpg
2,Apple,iPhone 13,iOS,128,4,7.75,12,12,3240,6.1,174,699,24/09/2021,"https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https://substack-post-media.s3.amazonaws.com/public/images/028e0308-738c-4faa-a82f-23d17c19709a_2310x1300.jpeg"
3,Apple,iPhone 13 Pro,iOS,256,6,7.94,12,12,3065,6.1,204,999,24/09/2021,https://images.priceoye.pk/apple-iphone-14-pro-max-pakistan-priceoye-4hr9p.jpg
4,Apple,iPhone 13 Pro Max,iOS,256,6,8.01,12,12,4352,6.7,240,1199,24/09/2021,https://prixcameroun.com/wp-content/uploads/2022/03/apple-iphone-13-pro-max.jpg
5,Apple,iPhone XR,iOS,64,3,4.22,12,7,2942,6.1,194,236,26/10/2018,https://images.sellbrite.com/production/28372/IPXR-64GB-RED-UNL-LIKENEW/81210cbf-9f45-5145-a003-758bcdcb2c3c.jpg
6,Asus,Zenfone 8,Android,128,8,6.76,64,12,4000,5.9,169,599,12/05/2021,https://paidfreedroid.com/wp-content/uploads/2021/05/Asus-Zenfone-8-1.jpg
7,Samsung,Galaxy A13,Android,32,3,1.36,50,8,5000,6.6,196,154,23/03/2022,https://tecnogalaxy.com.ec/wp-content/uploads/2022/08/samsung_galaxy_a13_quito_ecuador.png
8,Samsung,Galaxy A32,Android,64,4,2.2,48,13,5000,6.5,205,199,22/01/2021,"https://res.cloudinary.com/walmart-labs/image/upload/d_default.jpg/w_960,dpr_auto,f_auto,q_auto:best/gr/images/product-images/img_large/00750188263658L1.jpg?odnHeight=80&odnWidth=80&odnBg=FFFFFF"
9,Samsung,Galaxy A53,Android,128,6,3.79,64,32,5000,6.5,189,312,24/03/2022,https://image-us.samsung.com/SamsungUS/home/mobile/phones/pdp/galaxy-a53-5g/gallery/SM-A536VZK_A53_1.jpg
10,Samsung,Galaxy S22,Android,128,8,8.81,50,10,3700,6.1,167,528,25/02/2022,https://en.letsgodigital.org/uploads/2021/08/samsung-s22-ultra-1024x825.jpg
11,Samsung,Galaxy S22 Plus,Android,128,8,7.22,50,10,4500,6.6,195,899,25/02/2022,https://clasicoshub.ng/wp-content/uploads/2022/09/S22P.jpg
12,Samsung,Galaxy S22 Ultra,Android,128,8,9.68,108,40,5000,6.8,228,840,25/02/2022,https://images.samsung.com/be_fr/smartphones/galaxy-s22-ultra/images/galaxy-s22-ultra_highlights_kv_img.jpg
13,Samsung,Galaxy Z Flip 3,Android,128,8,5.96,12,10,3300,6.7,183,899,11/08/2021,https://i.gadgets360cdn.com/large/samsung_galaxy_z_flip_3_image_1628688787768.jpg
14,Samsung,Galaxy Z Fold 3,Android,256,12,6.35,12,4,4400,7.6,271,1799,11/08/2021,https://m.media-amazon.com/images/I/71MFE2UY6-L.jpg
15,Google,Pixel 6  ,Android,128,8,6.76,50,8,4614,6.4,207,499,28/10/2021,https://amateurphotographer.com/wp-content/uploads/sites/7/2022/09/google-pixel-6a-cameras-photo-joshua-waller-2560-P9150514.jpg
